,brand,"100,000","14,999","149,999","199,999","200,000","24,999","34,999","49,999","74,999","99,999",highest_income,lowest_income
0,7Up,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
1,9Lives,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
2,A&W,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
3,ACT Oral Care,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
4,Absolut,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
5,Adams (Peanut Butter),21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
6,Advil,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
7,Air Wick,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
8,Ajax,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
9,Ajinomoto,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
10,Almond Roca,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
11,Andalou Naturals,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
12,Anker,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
13,Annies,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
14,Apple iPhone,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
15,Aquafina,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
16,Aquafresh,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
17,Archway,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
18,Argo Tea,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
19,AriZona,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
20,Ariel,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
21,Arm & Hammer,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
22,Arnold White Bread,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
23,Arrowhead Mills,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
24,At-A-Glance,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
25,Athenos,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
26,Aveeno,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
27,Avery (Office Supplies),21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
28,Axe,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
29,BIC,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
30,Back to Nature,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
