,categories_textform,short_name,price,sales_count
1129,GROCERIES,Oral-B,8.99,76.0
1130,nan,Hot Sauce,6.99,
1131,BABY ITEMS,Burt,4.29,223.0
1132,GROCERIES,Strawberry Ice Cream,6.99,9.0
1133,BEVERAGES,Ginger Tea,3.79,1.0
1134,BEVERAGES,Fermented Vitamin,25.49,12.0
1135,nan,Rosemary Artisan Crackers,5.49,
1136,nan,Pringles Potato Crisps Chips,2.24,
1137,nan,Bull Energy Drink,8.87,
1138,nan,Sea Salt,6.69,
1139,GROCERIES,Trident,3.49,11.0
1140,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
1141,nan,Align Advanced Prebiotic Supplement,26.99,
1142,nan,Aluminum Free Sandalwood Deodorant,6.69,
1143,nan,Unsweetened Hibiscus,2.69,
1144,nan,Flavored Sparkling,21.99,
1145,GROCERIES,Gillette Proglide Shield Men,25.99,247.0
1146,nan,Artichoke Parmesan Salad Dressing,6.29,
1147,nan,Kellogg,4.74,2.0
1148,nan,Sprouted Whole Grain,5.69,
1149,nan,Polar Seltzer,2.94,
1150,DAIRY,Pringles Potato Crisps Chips,2.24,33.0
1151,nan,Sunkist Zero Sugar Orange Soda,15.4,
1152,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,5.24,63.0
1153,nan,Cola Gummies Pantry Pack,7.99,
1154,nan,Electronic,18.99,
1155,nan,Rose,5.09,
1156,nan,Rainbow,7.99,
1157,nan,Gorgonzola Pear Dressing,6.29,
1158,nan,Lipton Lemon Iced Tea,18.75,
1159,nan,Glow Baby Eye Bright Cream,13.59,
1160,PERSONAL CARE,Sensodyne Repair,8.49,36.0
1161,GROCERIES,Rapid,11.89,0.0
1162,BREAD & BAKERY,Organic Farro,6.79,1.0
1163,nan,Trident,13.16,
1164,nan,Bull Energy Drink,8.87,
1165,GROCERIES,Snack Mates Free-Range,4.99,11.0
1166,COOKIES,Orgain Organic,19.59,114.0
1167,nan,Excedrin Extra Strength Headache Relief Caplets,3.79,
1168,nan,Tahitian Gardenia,5.69,
1169,nan,Mediterranean,3.99,
1170,nan,Pepper Hot Sauce,3.19,
1171,nan,Cheez-It Cheese Crackers,4.04,
1172,GROCERIES,Derma+ Invisible Gel Antiperspirant,8.99,75.0
1173,nan,Mediterranean,3.99,
1174,nan,Pad Thai,10.99,2.0
1175,GROCERIES,Olay Regenerist Micro-Sculpting Cream Face Moisturizer,10.49,67.0
1176,nan,Cytosport Muscle Milk Protein Shake,6.29,
1177,,Cheez-It Cheese Crackers,3.94,
1178,FROZEN FOOD,Style Nuggets,3.99,12.0
1179,SNACKS & CANDY,Cheez-It Cheese Crackers,6.39,
1180,BREAKFAST & CEREAL,Organic Honey Grahams,4.99,3.0
1181,nan,Lipton,2.48,
1182,nan,Ruby,2.39,
1183,BEVERAGES,Diet,24.06,0.0
1184,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
1185,PERSONAL CARE,Poligrip Zinc Free Original Denture Adhesive Cream,6.49,0.0
1186,BEVERAGES,Samsung Galaxy Buds Live True Wireless Earbud Headphones,115.98,36.0
1187,nan,Bare Smooth Almond Butter,11.99,
1188,BREAD & BAKERY,Sprouted,3.29,2.0
1189,BEAUTY,Sensodyne Pronamel,14.99,0.0
1190,HOUSEHOLD,Febreze,3.49,147.0
1191,GROCERIES,Emollient Scented Lotion,13.59,5.0
1192,PERSONAL CARE,Poligrip Additive Free Denture Adhesive Cream,6.49,0.0
1193,MEAT & SEAFOOD,Organic Ruby Sensations Potatoes,3.99,0.0
1194,GROCERIES,Potato Gnocchi,3.99,8.0
1195,BABY ITEMS,Olay Lotion Moisturizer,9.99,164.0
1196,HEALTH & MEDICINE,Vicks Zzzquil Pure Zzzs Sleep,16.99,2.0
1197,BREAD & BAKERY,Olay Deep Hydrating Eye Gel,30.99,3.0
1198,nan,Pringles Potato Crisps Chips,2.24,
1199,nan,Squirt Caffeine-Free Soda,11.34,
1200,PERSONAL CARE,Sensodyne Repair,8.49,36.0
1201,HEALTH & MEDICINE,Vicks Zzzquil Pure Zzzs Sleep,16.99,2.0
1202,nan,Mountain Dew Citrus Soda Pop,3.33,
1203,BEAUTY,Sensodyne Pronamel,14.99,0.0
1204,,Cheez-It Cheese Crackers,3.94,
1205,nan,Crush Grape Soda,18.28,
1206,nan,Coco Joy,2.88,
1207,GROCERIES,Excedrin Migraine Caplets,15.99,113.0
1208,nan,Mountain Dew Citrus Soda Pop,10.18,
1209,GROCERIES,Invisible,8.99,140.0
1210,DAIRY,Olay,27.99,110.0
1211,GROCERIES,Maxwell,6.28,0.0
1212,nan,Schweppes Caffeine-Free Ginger Ale,18.75,
1213,nan,Sensodyne Pronamel Gentle Whitening Enamel Toothpaste,8.49,
1214,nan,Lemon Lime Soda Pop,1.0,
1215,GROCERIES,Spice Aqua Reef Scent Deodorant,7.99,188.0
1216,nan,Ibc Cream Soda Made,3.24,
1217,nan,Bull Energy Drink,8.87,
1218,nan,Bull Energy Drink,8.87,
1219,nan,Coco Joy,2.88,
1220,BREAD & BAKERY,Olay Deep Hydrating Eye Gel,30.99,3.0
1221,GROCERIES,Invisible,7.99,251.0
1222,nan,Essentia Bottled,14.99,
1223,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,5.24,63.0
1224,nan,Rc Cola Soda,18.2,
1225,nan,Epson Workforce Es-200 Black,195.98,
1226,nan,Bull Energy Drink,8.87,
1227,nan,Kellogg,5.24,27.0
1228,nan,Coco Joy,2.88,
1229,BEVERAGES,Arrowhead Brand,13.59,0.0
1230,nan,Mountain Dew Citrus Soda Pop,3.33,
1231,GROCERIES,Oral-B,8.99,76.0
1232,nan,Cheez-It Cheese Crackers,4.04,
1233,nan,Diet Dr Pepper Soda,10.18,
1234,nan,Lipton,18.5,
1235,GROCERIES,Clinical Strength Smooth,8.99,185.0
1236,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
1237,nan,Rc Cola Soda,18.2,
1238,nan,Olay Vitamin,11.99,
1239,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
1240,nan,Electronic,30.98,
1241,nan,Dunkin Original Blend Whole Bean Coffee,13.92,
1242,BEVERAGES,Diet,24.06,0.0
1243,HEALTH CARE,Advil Pain Reliever,3.59,31.0
1244,FROZEN FOOD,Eggo Thick,4.54,872.0
1245,nan,Rc Cola Soda,18.2,
1246,nan,Cheez-It Cheese Crackers,4.04,
1247,nan,Polar Seltzer,2.94,
1248,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
1249,BEVERAGES,Cooler,53.98,34.0
1250,nan,Caffeine-Free,48.63,
1251,nan,Lipton Diet,18.96,
1252,GROCERIES,Logitech,45.98,39.0
1253,GROCERIES,Clear Gel Antiperspirant Deodorant,8.49,1.0
1254,COOKIES,Epson Workforce Es-400 Ii Duplex Desktop Document Scanner,275.98,1.0
1255,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
1256,COOKIES,Parodontax Complete Gum Protection Toothpaste Mint,7.49,2.0
1257,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
1258,GROCERIES,Swedish Fish Mini Soft,7.24,328.0
1259,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
1260,nan,Topo Chico Sparkling,10.58,
1261,nan,Pepsi Cola Soda Pop,12.0,
1262,nan,Lipton Diet,18.96,
1263,nan,Zagg Black Pro Stylus,58.98,
1264,DAIRY,Olay Firming Cream,7.49,131.0
1265,nan,Sunkist Orange Soda Pop,46.43,
1266,nan,Lipton,2.48,
1267,nan,Sunkist Orange Soda Pop,1.0,
1268,nan,Ibc Cream Soda Made,3.24,
1269,nan,Sensodyne Complete Protection Sensitivity Toothpaste,8.49,
1270,nan,Olay,6.99,
1271,nan,Olay,6.99,
1272,nan,Advil Coated Caplets,5.99,
1273,GROCERIES,Olay Micro-Exfoliating Wet Cleansing Cloths,13.49,11.0
1274,COOKIES,Pringles Potato Crisps Chips,6.49,278.0
1275,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
1276,GROCERIES,Olay Regenerist Micro-Sculpting Serum,37.99,9.0
1277,GROCERIES,Spice Invisible,7.99,39.0
1278,nan,Sunkist Grape Soda,17.99,
1279,GROCERIES,Olay Regenerist Micro-Sculpting Serum,37.99,9.0
1280,nan,Pringles Potato Crisps Chips,2.24,
1281,nan,Diet Dr Pepper Soda,12.94,
1282,nan,Coffee Dark Roast Ground Coffee,11.03,
1283,nan,Lemon Lime Soda Pop,1.0,
1284,COOKIES,Smartypants Prenatal,20.99,164.0
1285,nan,Hp Stream,225.98,
1286,BEVERAGES,Tampax Pearl,10.99,116.0
1287,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,5.24,63.0
1288,nan,Zero Sugar Lemon Lime Soda,2.88,
1289,GROCERIES,Gillette Mach3,9.99,60.0
1290,VITAMINS & SUPPLEMENTS,Align Probiotic Supplement,21.99,3.0
1291,BEVERAGES,Samsung Galaxy Buds Live True Wireless Earbud Headphones,115.98,36.0
1292,BEVERAGES,Tampax Pearl,10.99,116.0
1293,GRAINS,Roasted Garlic Alfredo Pasta Sauce,7.99,9.0
1294,HEALTH & MEDICINE,Preparation H Hemorrhoid Relief Ointment Tube,12.49,214.0
1295,nan,Pepsi Cola Soda Pop,3.33,
1296,nan,Centrum Multivitamin,22.99,
1297,PERSONAL CARE,Tom,5.99,0.0
1298,nan,Zero Sugar Lemon Lime Soda,2.88,
1299,nan,Olay Vitamin,7.49,
1300,BEVERAGES,Honest Kids,3.6,2.0
1301,nan,Pringles Potato Crisps Chips,1.74,
1302,nan,Pepsi Cola,10.18,
1303,nan,Pepsi Cola Soda Pop,12.0,
1304,GROCERIES,Excedrin Migraine Caplets,15.99,113.0
1305,KITCHEN APPLIANCES,Nutribullet N12-1001 Pro+,105.98,42.0
1306,FROZEN FOOD,Eggo Thick,4.54,872.0
1307,DAIRY,Doritos Nacho Cheese Tortilla Chips,4.59,261.0
1308,nan,Pringles Potato Crisps Chips,1.74,
1309,nan,Paramount Pictures,16.99,
1310,nan,Perrier Sparkling,22.62,
1311,nan,Rockstar Punched,5.28,
1312,nan,Advil Coated Caplets,5.99,
1313,nan,Lipton Diet,18.96,
1314,nan,Diet Pepsi Cola Soda Pop,3.33,
1315,HEALTH & MEDICINE,Vicks Pure Zzzs De-Stress,19.99,1.0
1316,GROCERIES,Febreze Odor-Eliminating,4.49,150.0
1317,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,9.39,0.0
1318,GROCERIES,Derma+ Invisible Gel Antiperspirant,8.99,75.0
1319,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
1320,GROCERIES,Olay,10.49,44.0
1321,GROCERIES,Oral-B Bacteria Blast Manual Toothbrush,2.49,264.0
1322,GROCERIES,Olay Regenerist Micro-Sculpting Serum,37.99,9.0
1323,HOUSEHOLD,Febreze,3.49,147.0
1324,COOKIES,Smartypants Prenatal,20.99,164.0
1325,PERSONAL CARE,Polident Overnight Whitening Cleanser Tablets,8.99,0.0
1326,nan,Sunkist Zero Sugar Orange Soda,15.4,
1327,BEVERAGES,Honest Kids,3.6,2.0
1328,nan,Dr Pepper Soda,10.18,
1329,BEAUTY,Sensodyne Pronamel,14.99,0.0
1330,nan,Olay Moisture Ribbons,6.49,
1331,nan,Align Advanced Prebiotic Supplement,26.99,
1332,nan,Diet Pepsi Cola Soda Pop,3.33,
1333,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
1334,nan,Diet,2.88,
1335,nan,Sunkist Orange Soda,2.88,
1336,nan,Preparation H Cooling Spray,9.99,
1337,nan,Lemon Lime Soda Pop,1.0,
1338,nan,Pure,14.71,
1339,nan,Caffeine-Free,25.0,
1340,nan,Polident,8.99,
1341,nan,Trident Spearmint Rush Sugar Free Gum,5.49,
1342,nan,Insignia,35.98,
1343,nan,Squirt Caffeine-Free Soda,11.34,
1344,nan,Mello Yello Citrus Flavored Soda Soft Drinks,26.39,
1345,nan,Smoked Black Pepper Vegan Jerky,5.99,
1346,nan,Bull Energy Drink,8.87,
1347,nan,Bull Energy Drink,8.87,
1348,nan,Propel Watermelon Flavored Enhanced,5.98,
1349,nan,7Up Cherry,18.75,
1350,nan,Topo Chico Sparkling,10.58,
1351,HOUSEHOLD,Febreze,3.49,147.0
1352,BABY ITEMS,Dove Gentle Skin Cleanser Original,3.79,459.0
1353,nan,Zero Sugar Root Beer Soda,2.88,
1354,GROCERIES,Trident Original Sugar Free Gum,3.49,55.0
1355,HEALTH CARE,Cytosport Muscle Milk Pro,28.89,0.0
1356,nan,Diet,2.88,
1357,BABY ITEMS,Preparation H Hemorrhoid Relief Suppositories,12.79,245.0
1358,GROCERIES,Spice Aqua Reef Scent Deodorant,7.99,188.0
1359,DAIRY,Greenmarket Hot Sauce,5.99,3.0
1360,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
1361,nan,Thoughtfully,22.49,
1362,nan,Nuun Sport Electrolyte Drink Enhancer,5.98,
1363,nan,Organic Mango,3.49,
1364,DAIRY,Organic Creamy,5.99,6.0
1365,nan,Olay Vitamin,11.99,
1366,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
1367,nan,7Up Cherry,18.75,
1368,HEALTH & MEDICINE,Advil Pm Pain Reliever,11.49,0.0
1369,BABY ITEMS,Olay Anti-Aging Face Moisturizer,27.99,139.0
1370,FROZEN FOOD,Eggo Thick,4.54,872.0
1371,GROCERIES,Spice Invisible,7.99,39.0
1372,BEVERAGES,Herbal Essences Sulfate-Free Honey,8.49,54.0
1373,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
1374,HEALTH & MEDICINE,Claritin,19.99,0.0
1375,COOKIES,Pringles Potato Crisps Chips,1.74,89.0
1376,DAIRY,Olay,27.99,110.0
1377,nan,Jumex,21.95,
1378,nan,Spray Cran- Grape Juice Drink,4.32,
1379,nan,Bbq Veggie Crisps,3.29,
1380,GROCERIES,Olay,10.49,44.0
1381,GROCERIES,Trident Original Sugar Free Gum,3.49,55.0
1382,HOME,Spice Anti-Perspirant Deodorant,7.99,0.0
1383,VITAMINS & SUPPLEMENTS,Centrum Multivitamin,21.99,0.0
1384,nan,Pringles Potato Crisps Chips,1.74,
1385,nan,Topo Chico Sparkling,10.58,
1386,GROCERIES,Avacado,13.79,7.0
1387,DAIRY,Olay Firming Cream,7.49,131.0
1388,nan,Rc Cola Soda,18.2,
1389,HEALTH & MEDICINE,Preparation H Hemorrhoid Relief Ointment Tube,12.49,214.0
1390,BEAUTY,Sensodyne Pronamel,14.99,0.0
1391,nan,Olay Vitamin,7.49,
1392,nan,Propel Watermelon,1.0,
1393,nan,Skin Ultra Sensitive Shave Cream,8.99,
1394,GROCERIES,Crest Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste,6.99,328.0
1395,COOKIES,Spice Deodorant,7.49,37.0
1396,nan,Bull Energy Drink,8.87,
1397,nan,Purely Inspired Collagen Protein Powder,20.26,
1398,GROCERIES,Trident Spearmint Sugar Free Gum,3.49,0.0
1399,PERSONAL CARE & PHARMACY,Olay,27.99,137.0
1400,nan,7Up Cherry,18.75,
1401,nan,Organic Organic Strawberry Sunny,3.99,
1402,nan,Pringles Potato Crisps Chips,1.74,
1403,PERSONAL CARE,Gillette,26.99,116.0
1404,nan,Bodyarmor Sport Drink,1.24,
1405,PERSONAL CARE,Polident Overnight Whitening Cleanser Tablets,8.99,0.0
1406,GROCERIES,Crest Leave-On Teeth Whitening,49.99,109.0
1407,BEVERAGES,Folgers Coffee,15.49,1779.0
1408,GROCERIES,Derma+ Invisible Gel Antiperspirant,8.99,75.0
1409,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
1410,COOKIES,Organic Wrap N Roll Roasted Seaweed,4.49,6.0
1411,nan,Pepsi Cola Soda Pop,3.33,
1412,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
1413,nan,Diet Dr Pepper Soda,12.94,
1414,PRODUCE,Woodstock Organic,6.59,41.0
1415,DAIRY,Rao,5.29,9.0
1416,nan,Organic Slow-Simmered,2.99,2.0
1417,GROCERIES,Olay,10.49,44.0
1418,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,5.24,63.0
1419,GROCERIES,Oral-B Pro,22.99,47.0
1420,GROCERIES,Olay,10.49,44.0
1421,nan,Coffee Dark Roast Ground Coffee,11.03,
1422,nan,Zz Bloody Mary Mix,4.48,
1423,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,9.39,0.0
1424,GROCERIES,Oral-B,8.99,76.0
1425,GROCERIES,Trident Spearmint Sugar Free Gum,3.49,0.0
1426,HOME,Spice Anti-Perspirant Deodorant,7.99,0.0
1427,,Orgain Organic,33.99,
1428,nan,Pringles Potato Crisps Chips,1.74,11.0
1429,DAIRY,Gluten Free,5.29,1.0
1430,GROCERIES,Gillette Mach3,9.99,60.0
1431,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
1432,GROCERIES,Organic,3.49,4.0
1433,nan,Pringles Potato Crisps Chips,1.74,11.0
1434,nan,Organic,24.79,
1435,,Eggo Thick,4.74,
1436,nan,Keebler Baked Graham Cracker Snacks,3.24,
1437,HEALTH CARE,Advil Pain Reliever,3.59,31.0
1438,nan,Sensodyne Complete Protection Sensitivity Toothpaste,8.49,
1439,nan,Bone,15.99,
1440,nan,Coco Joy,2.88,
1441,nan,Curl Quenching Conditioner,4.99,
1442,nan,Lipton Diet,18.96,
1443,GROCERIES,Invisible,7.99,251.0
1444,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
1445,nan,Variety Pack Shelled Pistachios,11.99,
1446,nan,Advil Coated Caplets,5.99,
1447,nan,Truffle,5.99,
1448,COOKIES,Fixodent Complete Original Denture Adhesive Cream,10.49,312.0
1449,nan,Rockstar Punched,5.28,
1450,GROCERIES,Razer Gaming,50.98,76.0
1451,nan,Epson Workforce Es-200 Black,195.98,
1452,COOKIES,Organic Freeze Dried Chocolate Bananas,3.99,1.0
1453,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
1454,nan,Muscle Milk Genuine Protein Shake,6.98,
1455,PERSONAL CARE & PHARMACY,Deodorant,6.49,111.0
1456,HEALTH & MEDICINE,Preparation H Hemorrhoid Relief Ointment Tube,7.39,214.0
1457,GROCERIES,Rapid,11.89,0.0
1458,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
1459,GROCERIES,Palak Paneer,4.49,5.0
1460,nan,Rose Vanilla Deodorant Jar,10.99,
1461,nan,Seitan Strips Chili Lime,4.99,
1462,nan,Organic Shiitake Mushroom Broth,2.99,2.0
1463,BABY ITEMS,Woman™,40.79,6.0
1464,nan,Sensodyne Complete Protection Sensitivity Toothpaste,8.49,
1465,DAIRY,Olay,27.99,110.0
1466,nan,Bull Energy Drink,8.87,
1467,PERSONAL CARE,Gillette,26.99,116.0
1468,nan,Pringles Potato Crisps Chips,1.74,
1469,BREAD & BAKERY,Organic Crunchin,3.69,1.0
1470,nan,Ibc Cream Soda Made,3.24,
1471,nan,Sensodyne Pronamel Gentle Whitening Enamel Toothpaste,6.69,
1472,BABY ITEMS,Olay Anti-Aging Face Moisturizer,27.99,139.0
1473,GROCERIES,Fanta Orange Soda,2.75,0.0
1474,GROCERIES,Tide,8.49,519.0
1475,HEALTH & MEDICINE,Vicks Pure Zzzs De-Stress,19.99,1.0
1476,GROCERIES,Trident,3.49,11.0
1477,PERSONAL CARE,Poligrip Zinc Free Original Denture Adhesive Cream,6.49,0.0
1478,BEVERAGES,Cider Variety Pack,18.49,2.0
1479,BABY ITEMS,Olay Anti-Aging Face Moisturizer,27.99,139.0
1480,nan,Excedrin Migraine Pain Relief Caplets,3.69,
1481,nan,Pringles Potato Crisps Chips,2.24,
1482,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
1483,HOME,Spice Anti-Perspirant Deodorant,7.99,0.0
1484,nan,Dunkin Original Blend Whole Bean Coffee,13.92,
1485,nan,Nature,3.74,
1486,GROCERIES,Dawn Platinum Dishwashing Liquid Dish Soap,4.99,41.0
1487,HEALTH & MEDICINE,Vicks Pure Zzzs De-Stress,19.99,1.0
1488,nan,Lipton Iced Tea Mix Black Tea,10.83,
1489,COOKIES,Spice Deodorant,7.49,37.0
1490,VITAMINS & SUPPLEMENTS,Centrum Multigummies,10.99,361.0
1491,GROCERIES,Swedish Fish Mini Soft,7.24,328.0
1492,nan,Pringles Potato Crisps Chips,1.74,
1493,GROCERIES,Clinical Strength Smooth,8.99,185.0
1494,GROCERIES,Vitamin E,5.29,2.0
1495,GROCERIES,Trident Original Sugar Free Gum,3.49,55.0
1496,GROCERIES,Garlic Marinara,5.19,28.0
1497,COOKIES,Kimchi Mayo,5.69,1.0
1498,PERSONAL CARE,Poligrip Additive Free Denture Adhesive Cream,6.49,0.0
1499,nan,Gerber,2.34,
1500,DAIRY,Ultra Pure Reduced Fat Milk,2.99,11.0
1501,nan,Nature,5.04,
1502,PERSONAL CARE,Polident Overnight Whitening Cleanser Tablets,8.99,0.0
1503,nan,Muscle Milk Genuine Protein Shake,6.98,
1504,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
1505,DELI,Crest Pro-Health Intense Mouthwash,5.29,73.0
1506,GROCERIES,Tom,5.99,7.0
1507,nan,Diet Dr Pepper Soda,10.18,
1508,GROCERIES,Crest Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste,6.99,328.0
1509,COOKIES,Parodontax Complete Gum Protection Toothpaste Mint,7.49,2.0
1510,nan,Sunkist Zero Sugar Orange Soda,15.4,
1511,GROCERIES,Invisible,8.99,140.0
1512,DAIRY,Cheez-It Cheese Crackers,2.54,894.0
1513,COOKIES,Protein,1.79,2.0
1514,nan,Nuun Sport Electrolyte Drink Enhancer,5.98,
1515,nan,Olay,6.99,
1516,GROCERIES,Clinical Strength Smooth,8.99,185.0
1517,BEVERAGES,Philips Norelco Bodygroom,55.98,82.0
1518,nan,Excedrin Migraine Pain Relief Caplets,3.69,
1519,nan,Caffeine-Free,48.63,
1520,GROCERIES,Invisible,8.99,140.0
1521,BABY ITEMS,Olay Lotion Moisturizer,9.99,164.0
1522,GROCERIES,Fanta Orange Soda,2.75,0.0
1523,nan,Rc Cola Soda,18.2,
1524,PERSONAL CARE,Tom,5.99,0.0
1525,nan,Pringles Potato Crisps Chips,1.74,
1526,nan,Pepsi Cola Soda Pop,3.33,
1527,nan,Schweppes Caffeine-Free Ginger Ale,18.75,
1528,nan,Flavored Sparkling,21.99,
1529,HEALTH CARE,Preparation H Anti Itch Cream,12.49,74.0
1530,nan,Excedrin Migraine Pain Relief Caplets,3.69,
1531,nan,Muscle Milk Genuine Protein Shake,6.98,
1532,VITAMINS & SUPPLEMENTS,Align Probiotic Supplement,21.99,3.0
1533,GRAINS,Homemade Farfalle,2.49,8.0
1534,nan,Zero Sugar Lemon Lime Soda,2.88,
1535,nan,Organic Spaghetti Squash Pasta,3.99,4.0
1536,BEER,Lager,12.99,11.0
1537,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
1538,nan,Olay Vitamin,11.99,
1539,nan,Sunkist Zero Sugar Orange Soda,2.88,
1540,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
1541,nan,Bull Energy Drink,8.87,
1542,nan,Crush Grape Soda,18.28,
1543,COOKIES,Parodontax Complete Gum Protection Toothpaste Mint,7.49,2.0
1544,nan,Centrum Multivitamin,22.99,
1545,PERSONAL CARE,Sensodyne Extra Whitening Sensitive Toothpaste,13.89,0.0
1546,nan,Bull Energy Drink,8.87,
1547,nan,Diet Dr Pepper Soda,10.18,
1548,PERSONAL CARE,Spice Aluminum Free Deodorant,7.99,0.0
1549,nan,Corsair Sabre Rgb Pro Wireless,112.98,
1550,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
1551,HOUSEHOLD,Febreze,3.49,147.0
1552,PERSONAL CARE,Spice Aluminum Free Deodorant,7.99,0.0
1553,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,10.39,0.0
1554,HEALTH CARE,Preparation H Hemorrhoid Cooling Gel Tube,12.49,80.0
1555,COOKIES,Pringles Potato Crisps Chips,1.74,89.0
1556,nan,Spray Cran- Grape Juice Drink,4.32,
1557,nan,Excedrin Migraine Pain Relief Caplets,3.69,
1558,nan,Samsung Galaxy Watch4 Classic Bluetooth Stainless,315.98,
1559,nan,Align Advanced Prebiotic Supplement,26.99,
1560,nan,Diet Dr Pepper Soda,10.18,
1561,GROCERIES,Clear Gel Antiperspirant Deodorant,8.49,10.0
1562,nan,Orgain Grass Fed Hydrolyzed Collagen Peptides Protein Powder,23.19,10.0
1563,nan,Excedrin Migraine Pain Relief Caplets,3.69,
1564,nan,Rc Cola Soda,2.88,
1565,nan,Coca-Cola Zero Sugar Soda Pop,4.88,
1566,BEVERAGES,Propel Electrolyte,1.0,320.0
1567,PERSONAL CARE,Spice Aluminum Free Body Spray,8.49,70.0
1568,HEALTH CARE,Preparation H Anti Itch Cream,12.49,74.0
1569,nan,Lipton,2.48,
1570,nan,Coco Joy,2.88,
1571,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
1572,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
1573,nan,Propel Watermelon Flavored Enhanced,5.98,
1574,PET CARE,Sensodyne Pronamel Intensive Repair Sensitivity Toothpaste,8.49,0.0
1575,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,185.0
1576,nan,Spray Cran- Grape Juice Drink,4.32,
1577,nan,Preparation H Multi Symptom Hemorrhoid Cream Tube,7.39,
1578,nan,Glaceau Smartwater,14.86,
1579,nan,Polident,8.99,
1580,PERSONAL CARE,Sensodyne Extra Whitening Sensitive Toothpaste,13.89,0.0
1581,nan,Pringles Potato Crisps Chips,1.74,11.0
1582,GROCERIES,Spice Aqua Reef Scent Deodorant,7.99,188.0
1583,PERSONAL CARE,Parodontax Teeth Whitening Toothpaste,6.79,4.0
1584,nan,Kind Bars,10.79,
1585,GROCERIES,Trident,3.49,11.0
1586,COOKIES,Pringles Potato Crisps Chips,1.74,89.0
1587,HEALTH CARE,Advil Pm Pain Reliever,12.79,0.0
1588,nan,Excedrin Extra Strength Headache Relief Caplets,3.79,
1589,nan,Lipton Diet,18.96,
1590,nan,Glaceau Smartwater,14.86,
1591,nan,Polar Beverages,0.98,
1592,nan,Diet Dr Pepper Soda,10.18,
1593,nan,Rockstar Punched,5.28,
1594,nan,Lipton,2.48,
1595,nan,Kellogg,3.24,2.0
1596,COOKIES,Spice Deodorant,7.49,37.0
1597,BEVERAGES,Calm Chamomile Herbal Tea,3.79,1.0
1598,nan,Electronic,18.99,
1599,GROCERIES,Dawn Platinum Dishwashing Liquid Dish Soap,4.99,41.0
1600,nan,Blueberry Preserves,4.99,21.0
1601,PANTRY,Cinnamon Toast,5.99,47.0
1602,nan,Topo Chico Sparkling,10.58,
1603,nan,Diet Pepsi Cola Soda Pop,3.33,
1604,GROCERIES,Trident Original Sugar Free Gum,3.49,55.0
1605,GROCERIES,Logitech G703 Lightspeed Wireless Gaming,85.98,40.0
1606,nan,Diet Pepsi Cola Soda Pop,10.18,
1607,nan,Excedrin Migraine Pain Relief Caplets,3.69,
1608,nan,Diet Pepsi Cola Soda Pop,10.18,
1609,nan,Bull Energy Drink,8.87,
1610,BEVERAGES,Honest Kids,3.6,2.0
1611,nan,Bull Energy Drink,8.87,
1612,nan,Lipton Lemon Iced Tea,18.75,
1613,GROCERIES,Spice Aqua Reef Scent Deodorant,7.99,188.0
1614,BEVERAGES,Arrowhead Brand,13.59,0.0
1615,BEVERAGES,Shea Passionfruit Body Wash,10.99,35.0
